#Number of males and females represented in each CC-RIX strain
Strain	n_female	n_male	total
CC043_CC011	12	12	24
CC030_CC002	12	12	24
CC051_CC019	12	12	24
CC011_CC027	11	12	23
CC012_CC002	12	12	24
CC024_CC002	12	12	24
CC002_CC075	12	12	24
CC011_CC005	12	12	24
CC051_CC059	12	12	24
CC002_CC043	11	12	23
CC001_CC042	12	12	24
CC019_CC042	12	12	24
CC042_CC040	12	12	24
CC004_CC019	9	10	19
CC075_CC042	12	12	24
CC043_CC042	12	10	22
CC009_CC013	11	11	22
CC051_CC060	12	12	24
CC019_CC075	12	12	24
CC042_CC060	12	9	21
