Cluster	gene.ID	gene.name	Adipose	Islet	Liver	SkeletalMuscle
immune system activation	ENSMUSG00000001020	S100a4	0.03673818	0.00806138	0.01118701	0.0157309
immune system activation	ENSMUSG00000002111	Spi1	0.036802666	-0.00149945	0.000564861	-0.003295462
immune system activation	ENSMUSG00000003348	Mob3a	0.03826217	-0.00452857	0.013392904	-0.005999883
immune system activation	ENSMUSG00000004383	Large1	0.038517842	0.010216506	0.002633398	0.008642769
immune system activation	ENSMUSG00000004933	Matk	0.036632299	0.002046812	0.005834254	-0.003068795
immune system activation	ENSMUSG00000005054	Cstb	0.03812683	-0.004052346	0.013054419	0.007604054
immune system activation	ENSMUSG00000005087	Cd44	0.037566631	0.012397008	-0.001542979	0.008961372
immune system activation	ENSMUSG00000013698	Pea15a	0.037847073	-0.002299055	0.007424046	0.011083965
immune system activation	ENSMUSG00000017670	Elmo2	0.037134085	0.004666825	0.000799231	-0.004944635
immune system activation	ENSMUSG00000018008	Cyth4	0.038279279	-0.00356229	0.005806563	-0.000856908
immune system activation	ENSMUSG00000018293	Pfn1	0.038687486	-0.017678049	0.000876618	-0.005430843
immune system activation	ENSMUSG00000018774	Cd68	0.03691738	-0.01148222	0.003696356	0.000874893
immune system activation	ENSMUSG00000019302	Atp6v0a1	0.038526119	0.002157789	0.017473037	-0.002138413
immune system activation	ENSMUSG00000020152	Actr2	0.038737142	-0.009979659	0.017953764	0.003609915
immune system activation	ENSMUSG00000020522	Mfap3	0.037628234	0.002439214	0.005323466	0.00264934
immune system activation	ENSMUSG00000020661	Dnmt3a	0.036669035	-0.005634083	-0.017599423	0.00984482
immune system activation	ENSMUSG00000020695	Mrc2	0.037993165	0.00577489	0.009711554	0.013184829
immune system activation	ENSMUSG00000021277	Traf3	0.037258746	-0.004285957	0.013487691	0.009630092
immune system activation	ENSMUSG00000021624	Cd180	0.038543627	-0.005551805	0.006172653	-0.006391533
immune system activation	ENSMUSG00000021998	Lcp1	0.037592357	-0.006023416	0.005673017	-0.005969737
immune system activation	ENSMUSG00000022488	Nckap1l	0.038172719	0.000184101	-4.06E-05	-0.008273276
